Product ID;Bild;Name;Artikel-Nr.;Kategorie;Verkaufspreis netto;Verkaufspreis brutto;Menge;Status;Sp�testes Ablaufdatum;�ltestes Ablaufdatum
2014;https://shop.indomarkt.com/2305/36025.jpg;NARCISSUS, Litchi in leichten Sirup 567g;36025;Gemüse & Obst In Dosen;2.046.729;Feb 19;5;0;20.06.21;20.06.21
1598;https://shop.indomarkt.com/1838/golden-phoenix-mixed-cargo-rice-1kg.jpg;GOLDEN PHOENIX, Mixed Cargo Rice 1kg;10059;Reis, Nudeln & Mehl;3.728.972;M�r 99;2;0;01.04.22;01.04.22
588;https://shop.indomarkt.com/592/rapindosssehefefrmaniok100g.jpg;NESIA, Ragi Tape Manis (Hefe), 100 g;35041;Lebensmittel;1.859.813;Jan 99;38;0;30.06.22;30.06.22
1370;https://shop.indomarkt.com/1783/masako-huhnerfleisch-extrakt-gewurz-250-gr.jpg;MASAKO, Hühnerfleisch-Extrakt-Gewürz, 250 g;16064;Gewürze;3.738.318;4;30;0;03.07.22;03.07.22
997;https://shop.indomarkt.com/1389/wind-mill-klebreismehl-400-g.jpg;WIND MILL, reismehl, 400 g;13011;Reis, Nudeln & Mehl;1.401.869;01. Mai;2;0;10.07.22;10.07.22
1482;https://shop.indomarkt.com/1593/duabelibischilisaucen340ml.jpg;DUA BELIBIS, Chilli Soße, 24 x 9 g;21076;Soße, Saucen, Pasten & Öle;3.271.028;03. Mai;57;0;20.07.22;20.07.22
126;https://shop.indomarkt.com/1587/jeenyspetisgarnelen240g.jpg;JEENY`S, Petis Garnelen, 240 g;18006;Gewürze & Gewürzemischungen;2.700.935;Feb 89;48;0;31.07.22;31.07.22
204;https://shop.indomarkt.com/204/udangmasgarnelencracker80g.jpg;UDANG MAS, Garnelen Cracker, 80 g;29007;Krupuk & Emping;1.205.607;Jan 29;24;0;04.08.22;04.08.22
2393;https://shop.indomarkt.com/2344/32170.jpg;KINO, Durian Bonbon, 125 g;32170;Snacks & Süßwaren;1.401.869;01. Mai;8;0;23.08.22;23.08.22
1389;https://shop.indomarkt.com/1548/nesia-krupuk-tahu-100-g.jpg;UDANG MAS, Fisch Chips Palembang, 65 g;29019;Krupuk & Emping;2.336.449;02. Mai;87;0;24.08.22;24.08.22
719;https://shop.indomarkt.com/723/chaokohkokosmilch250ml.jpg;CHAOKOH, Kokosmilch, 250ml;20005;Kokosmilch & Kokosraspel;1.579.439;Jan 69;20;0;27.08.22;27.08.22
726;https://shop.indomarkt.com/730/knorrmaismehl420g.jpg;KNORR, Maisstärke, 420g;13013;Reis, Nudeln & Mehl;2.371.429;Feb 54;21;0;05.09.22;05.09.22
672;https://shop.indomarkt.com/676/aroydkokosnussmilchimtetrapack1000ml.jpg;AROY-D, Kokosmilch im Karton, 1000 ml;20002;Kokosmilch & Kokosraspel;3.355.140;M�r 59;11;0;10.09.22;10.09.22
527;https://shop.indomarkt.com/531/garudaerdnsseungeschlt250g.jpg;GARUDA, geröstete Erdnüsse ungeschält, 200 g;32131;Snacks & Süßwaren;2.102.804;Feb 25;26;0;17.09.22;17.09.22
696;https://shop.indomarkt.com/700/moriscalayersnackoriginal365g.jpg;MORISCA, Schichtkuchen Original, 365 g;32047;Snacks & Süßwaren;3.271.028;03. Mai;12;0;18.09.22;18.09.22
