"Artikel-Nr";"Bezeichnung";"Langtext";"Zugangslager";"Abgangslager";"Maﬂeinheit";"Anzahl pro Maﬂeinheit";"Grundeinheit";"Verpackungseinheit";"EAN";"Hersteller";"Herstellernummer";"Kontenzuordnung";"Kontenzuordnung Kasse";"Leistung";"Bestandsf¸hrung";"Negativbestand erlaubt";"Rabattf‰hig";"Gewicht";"L‰nge";"Breite";"Hˆhe";"Erstellt am";"Zuletzt aktualisiert am";"Bestand: Hauptlager";"Meldebestand: Hauptlager";"Preis: Endkundenpreis";"Warenwert: Hauptlager";"Warenwert Gesamt:";"Einkauf Lieferant 0";"Einkauf Lieferant Nummer 0";"Einkauf VPE0";"Einkauf Bestellnummer 0";"Einkauf Preis 0";"Einkauf Rabatt 0";"Einkauf Menge 0"
"35050";"RAPINDO, Sagu Mutiara, 100g";"";"Hauptlager";"Hauptlager";"";"";"";"";"";"RAPINDO";"";"20000";"";0;1;1;1;"0,1";0;0;0;"2020-12-05T06:37:02.190Z";"2021-12-28T17:31:23.325Z";"0";"";"1,99";;"0";;;;;;;
"39045";"BDMP, gefrorene Galangascheiben, 300 g";"<p>Ursprungsland : Thailand <br /> Hersteller/Importer: Heuschen &amp; Schrouff OFT B.V.<br /> PO Box 30202, 6370 KE Landgraaf, Niederlande. <br />p: 0031-(0)45-5338283 <br />e: sales@heuschenschrouff.com</p>";"Hauptlager";"Hauptlager";"";"";"";"";"8851035804000";"BDMP";"";"20000";"";0;1;1;1;"0,34";0;0;0;"2020-12-14T23:37:46.344Z";"2021-12-28T17:21:44.088Z";"0";"";"1,99";;"0";;;;;;;
"51000";"INDOCAFE, Coffeemix Instant, 5x20g";"<div class=""pd-ToggleBox__trigger"">\n<h2 class=""pd-ToggleBox__heading"">N‰hrwerte</h2>\n<p>Portion per 20 g</p>\n<table id=""nutrition-facts""><tbody><tr><td class=""col-1"">Kalorien</td>\n<td class=""acol-2"">90 kkal</td>\n<td class=""col-1"">Natrium</td>\n<td class=""col-2"">10 mg</td>\n</tr><tr><td class=""col-1"">Fette gesamt</td>\n<td class=""col-2"">2 g</td>\n<td class=""col-1"">Kalium</td>\n<td class=""col-2"">0 mg</td>\n</tr><tr><td class=""col-1 sub"">Ges‰ttigte</td>\n<td class=""col-2"">2 g</td>\n<td class=""col-1"">Kohlenhydrate gesamt</td>\n<td class=""col-2"">17 g</td>\n</tr><tr><td class=""col-1 sub"">Mehrfach unges‰ttigte</td>\n<td class=""col-2"">0 g</td>\n<td class=""col-1"">Ballaststoffe</td>\n<td class=""col-2"">0 g</td>\n</tr><tr><td class=""col-1 sub"">Einfach unges‰ttigte</td>\n<td class=""col-2"">0 g</td>\n<td class=""col-1"">Zucker</td>\n<td class=""col-2"">13 g</td>\n</tr><tr><td class=""col-1 sub"">Trans</td>\n<td class=""col-2"">0 g</td>\n<td class=""col-1"">Eiweiﬂ</td>\n<td class=""col-2"">1 g</td>\n</tr><tr class=""last""><td class=""col-1"">Cholesterin</td>\n<td class=""col-2"">0 mg</td>\n<td class=""col-1"">Salz</td>\n<td class=""col-2"">0 g</td>\n</tr><tr class=""alt""><td class=""col-1"">Vitamin A</td>\n<td class=""col-2"">0%</td>\n<td class=""col-1"">Kalzium</td>\n<td class=""col-2"">0%</td>\n</tr><tr class=""last""><td class=""col-1"">Vitamin C</td>\n<td class=""col-2"">0%</td>\n<td class=""col-1"">Eisen</td>\n<td class=""col-2"">0%</td>\n</tr></tbody></table></div>\n<div class=""pd-AttributeGroup"">†</div>\n<div class=""pd-AttributeGroup"">Ursprungsland : Indonesien<br /> Hersteller/Importer: PT. SARI INCOFOOD CORPORATION<br /> Tg. Morawa 20362, Indonesien.</div>";"Hauptlager";"Hauptlager";"";"";"";"";"9311931184037";"INDOCAFE";"";"10000";"";0;1;1;1;"0,11";0;0;0;"2020-12-14T23:37:46.447Z";"2022-06-04T10:20:58.924Z";"-35";"";"2,5";;"0";"";"";"1";"";"1";;1
"14325";"WIND MILL, Kokosmilch, 165ml";"<div class=""pd-ToggleBox__trigger"">\n<h2 class=""pd-ToggleBox__heading"">N‰hrwerte</h2>\n<p>Portion per 100 ml</p>\n<div class=""col-1"">\n<div id=""nutrition_info"">\n<div class=""col-1"">\n<div>\n<table id=""nutrition-facts""><colgroup><col class=""col-1"" /><col class=""col-2"" /><col class=""col-1"" /><col class=""col-2"" /></colgroup><tbody><tr><td class=""col-1"">Kalorien</td>\n<td class=""col-2"">131 kcal†</td>\n<td class=""col-1"">Natrium</td>\n<td class=""col-2"">20 mg</td>\n</tr><tr><td class=""col-1"">Fette gesamt</td>\n<td class=""col-2"">13 g</td>\n<td class=""col-1"">Kalium</td>\n<td class=""col-2"">0 mg</td>\n</tr><tr><td class=""col-1 sub"">† †Ges‰ttigte</td>\n<td class=""col-2"">11 g</td>\n<td class=""col-1"">Kohlenhydrate gesamt†</td>\n<td class=""col-2"">2,5 g</td>\n</tr><tr><td class=""col-1 sub"">† †Mehrfach unges‰ttigte†</td>\n<td class=""col-2"">0 g</td>\n<td class=""col-1"">Ballaststoffe</td>\n<td class=""col-2"">0 g</td>\n</tr><tr><td class=""col-1 sub"">† †Einfach unges‰ttigte</td>\n<td class=""col-2"">0 g</td>\n<td class=""col-1"">Zucker</td>\n<td class=""col-2"">2 g</td>\n</tr><tr><td class=""col-1 sub"">† †Trans</td>\n<td class=""col-2"">0 g</td>\n<td class=""col-1"">Eiweiﬂ</td>\n<td class=""col-2"">1,1 g</td>\n</tr><tr class=""last""><td class=""col-1"">Cholesterin</td>\n<td class=""col-2"">0 mg</td>\n<td class=""col-1"">†</td>\n</tr></tbody></table></div>\n</div>\n</div>\n</div>\n<p>Ursprungsland : Thailand†<br /> Hersteller/Importer: Theppadungporn Coconut CO.,LTD<br /> 58-59 phutthamonthon IV Road Sampran Nakhonpathom, Thailand. <br />p: (622)6221501-8</p>\n</div>";"Hauptlager";"Hauptlager";"";"";"";"";"";"WIND MILL";"";"20000";"";0;1;1;1;"0,2";0;0;0;"2020-12-14T23:37:46.582Z";"2021-12-28T17:21:45.765Z";"0";"";"1,29";;"0";;;;;;;
"14326";"HENG QUAN, Kokosmilch 1000 mL";"";"Hauptlager";"Hauptlager";"";"";"";"";"";"";"";"20000";"";0;1;1;1;"0";0;0;0;"2020-12-14T23:37:46.747Z";"2021-12-28T17:21:46.629Z";"0";"";"3,5";;"0";;;;;;;
"14327";"SAMYANG, Instant-Nudeln Ultra Scharf, 5x140g";"<div class=""pd-ToggleBox__trigger"">\n<h2 class=""pd-ToggleBox__heading"">N‰hrwerte</h2>\n<p>Portion per 140 g</p>\n<table id=""nutrition-facts""><tbody><tr><td class=""col-1"">Kalorien</td>\n<td class=""col-2"">545 kcal†</td>\n<td class=""col-1"">Natrium</td>\n<td class=""col-2"">1,360 mg</td>\n</tr><tr><td class=""col-1"">Fette gesamt</td>\n<td class=""col-2"">17 g</td>\n<td class=""col-1"">Kalium</td>\n<td class=""col-2"">0 mg</td>\n</tr><tr><td class=""col-1 sub"">† †Ges‰ttigte</td>\n<td class=""col-2"">8 g</td>\n<td class=""col-1"">Kohlenhydrate gesamt</td>\n<td class=""col-2"">85 g</td>\n</tr><tr><td class=""col-1 sub"">† †Mehrfach unges‰ttigte</td>\n<td class=""col-2"">0 g</td>\n<td class=""col-1"">Ballaststoffe</td>\n<td class=""col-2"">1 g</td>\n</tr><tr><td class=""col-1 sub"">† †Einfach unges‰ttigte</td>\n<td class=""col-2"">0 g</td>\n<td class=""col-1"">Zucker</td>\n<td class=""col-2"">7 g</td>\n</tr><tr><td class=""col-1 sub"">† †Trans</td>\n<td class=""col-2"">0 g</td>\n<td class=""col-1"">Eiweiﬂ</td>\n<td class=""col-2"">13 g</td>\n</tr><tr class=""last""><td class=""col-1"">Cholesterin</td>\n<td class=""col-2"">0 mg</td>\n<td class=""col-1"">†</td>\n<td class=""col-2"">†</td>\n</tr><tr class=""alt""><td class=""col-1"">Vitamin A</td>\n<td class=""col-2"">0%</td>\n<td class=""col-1"">Kalzium</td>\n<td class=""col-2"">2%</td>\n</tr><tr class=""last""><td class=""col-1"">Vitamin C</td>\n<td class=""col-2"">0%</td>\n<td class=""col-1"">Eisen</td>\n<td class=""col-2"">0%</td>\n</tr></tbody></table><p>Ursprungsland : Korea†<br /> Hersteller/Importer: Samyang Foods Co., Ltd.<br />104, Opaesan-ro 3-gil, Seongbuk-gu, Seoul, Korea<br />p: +82 2 940-3000</p>\n</div>";"Hauptlager";"Hauptlager";"";"";"";"";"";"SAMYANG";"";"20000";"";0;1;1;1;"0";0;0;0;"2020-12-14T23:37:46.805Z";"2021-12-28T17:21:47.456Z";"0";"";"6,5";;"0";;;;;;;
"14328";"KUSUKA CASSAVA CHIPS GARNELEN S";"<div class=""pd-ToggleBox__trigger"">\n<h2 class=""pd-ToggleBox__heading"">N‰hrwerte</h2>\n<p>Portion per 25 g</p>\n<table id=""nutrition-facts""><tbody><tr><td class=""col-1"">Kalorien</td>\n<td class=""col-2"">130 kcal†</td>\n<td class=""col-1"">Natrium</td>\n<td class=""col-2"">70 mg</td>\n</tr><tr><td class=""col-1"">Fette gesamt</td>\n<td class=""col-2"">6 g</td>\n<td class=""col-1"">Kalium</td>\n<td class=""col-2"">0 mg</td>\n</tr><tr><td class=""col-1 sub"">† †Ges‰ttigte</td>\n<td class=""col-2"">0 g</td>\n<td class=""col-1"">Kohlenhydrate gesamt</td>\n<td class=""col-2"">18 g</td>\n</tr><tr><td class=""col-1 sub"">† †Mehrfach unges‰ttigte</td>\n<td class=""col-2"">0 g</td>\n<td class=""col-1"">Ballaststoffe</td>\n<td class=""col-2"">0 g</td>\n</tr><tr><td class=""col-1 sub"">† †Einfach unges‰ttigte</td>\n<td class=""col-2"">0 g</td>\n<td class=""col-1"">Zucker</td>\n<td class=""col-2"">2 g</td>\n</tr><tr><td class=""col-1 sub"">† †Trans</td>\n<td class=""col-2"">0 g</td>\n<td class=""col-1"">Eiweiﬂ</td>\n<td class=""col-2"">1 g</td>\n</tr><tr class=""last""><td class=""col-1"">Cholesterin</td>\n<td class=""col-2"">0 mg</td>\n<td class=""col-1"">†</td>\n<td class=""col-2"">†</td>\n</tr><tr class=""alt""><td class=""col-1"">Vitamin A</td>\n<td class=""col-2"">0%</td>\n<td class=""col-1"">Kalzium</td>\n<td class=""col-2"">0%</td>\n</tr><tr class=""last""><td class=""col-1"">Vitamin C</td>\n<td class=""col-2"">0%</td>\n<td class=""col-1"">Eisen</td>\n<td class=""col-2"">0%</td>\n</tr></tbody></table><p>Ursprungsland : Indonesien <br /> Hersteller/Importer: Arira Pangindo<br />Jalan Sukaraja No. 51, Ciluar, Bogor Utara, Pasirlaya, Sukaraja, Kota Bogor, Jawa Barat 16156, Indonesia† <br />p: +62 251 8664267†</p>\n</div>";"Hauptlager";"Hauptlager";"";"";"";"";"";"";"";"20000";"";0;1;1;1;"0";0;0;0;"2020-12-14T23:37:46.873Z";"2021-12-28T17:21:48.335Z";"0";"";"2,5";;"0";;;;;;;
"14329";"WINGSFOOD, RIO gezuckerte Tee, 190 ml";"<div class=""pd-ToggleBox__trigger"">\n<h2 class=""pd-ToggleBox__heading"">N‰hrwerte</h2>\n<p>Portion per 190 ml</p>\n<div class=""col-1"">\n<div id=""nutrition_info"">\n<table id=""nutrition-facts""><colgroup><col class=""col-1"" /><col class=""col-2"" /><col class=""col-1"" /><col class=""col-2"" /></colgroup><tbody><tr><td class=""col-1"">Kalorien</td>\n<td class=""col-2"">70</td>\n<td class=""col-1"">Natrium</td>\n<td class=""col-2"">0 mg</td>\n</tr><tr><td class=""col-1"">Fette gesamt</td>\n<td class=""col-2"">0 g</td>\n<td class=""col-1"">Kalium</td>\n<td class=""col-2"">0 mg</td>\n</tr><tr><td class=""col-1 sub"">Ges‰ttigte</td>\n<td class=""col-2"">0 g</td>\n<td class=""col-1"">Kohlenhydrate gesamt</td>\n<td class=""col-2"">17 g</td>\n</tr><tr><td class=""col-1 sub"">Mehrfach unges‰ttigte</td>\n<td class=""col-2"">0 g</td>\n<td class=""col-1"">Ballaststoffe</td>\n<td class=""col-2"">0 g</td>\n</tr><tr><td class=""col-1 sub"">Einfach unges‰ttigte</td>\n<td class=""col-2"">0 g</td>\n<td class=""col-1"">Zucker</td>\n<td class=""col-2"">17 g</td>\n</tr><tr><td class=""col-1 sub"">Trans</td>\n<td class=""col-2"">0 g</td>\n<td class=""col-1"">Eiweiﬂ</td>\n<td class=""col-2"">0 g</td>\n</tr><tr class=""last""><td class=""col-1"">Cholesterin</td>\n<td class=""col-2"">0 mg</td>\n<td class=""col-1"">†</td>\n<td class=""col-2"">†</td>\n</tr><tr class=""alt""><td class=""col-1"">Vitamin A</td>\n<td class=""col-2"">0%</td>\n<td class=""col-1"">Kalzium</td>\n<td class=""col-2"">0%</td>\n</tr><tr class=""last""><td class=""col-1"">Vitamin C</td>\n<td class=""col-2"">0%</td>\n<td class=""col-1"">Eisen</td>\n<td class=""col-2"">0%</td>\n</tr></tbody></table></div>\n</div>\n</div>\n<p>Ursprungsland : Indonesien <br /> Hersteller/Importer: PT. Wings Food <br /> Jl. Tipar Cakung Kav. F 5-7, Cakung Barat, Cakung, Jawa Timur 13910, Indonesia<br />p: 021 4602696</p>";"Hauptlager";"Hauptlager";"";"";"";"";"";"";"";"20000";"";0;1;1;1;"0";0;0;0;"2020-12-14T23:37:46.934Z";"2021-12-28T17:21:49.213Z";"0";"";"0,5";;"0";;;;;;;
"14330";"FINNA, Emping, 250 g";"";"Hauptlager";"Hauptlager";"";"";"";"";"";"";"";"20000";"";0;1;1;1;"0";0;0;0;"2020-12-14T23:37:47.004Z";"2021-12-28T17:21:50.006Z";"0";"";"3";;"0";;;;;;;
"14331";"NESIA, Kemirinuss 100g";"<div class=""pd-ToggleBox__trigger"">\n<h2 class=""pd-ToggleBox__heading"">N‰hrwerte</h2>\n<p>Portion per 100 g</p>\n<table id=""nutrition-facts""><tbody><tr><td class=""col-1"">Kalorien</td>\n<td class=""col-2"">640 kcal†</td>\n<td class=""col-1"">Natrium</td>\n<td class=""col-2"">0 mg</td>\n</tr><tr><td class=""col-1"">Fette gesamt</td>\n<td class=""col-2"">61 g</td>\n<td class=""col-1"">Kalium</td>\n<td class=""col-2"">0 mg</td>\n</tr><tr><td class=""col-1 sub"">† †Ges‰ttigte</td>\n<td class=""col-2"">10 g</td>\n<td class=""col-1"">Kohlenhydrate gesamt</td>\n<td class=""col-2"">17 g</td>\n</tr><tr><td class=""col-1 sub"">† †Mehrfach unges‰ttigte</td>\n<td class=""col-2"">0 g</td>\n<td class=""col-1"">Ballaststoffe</td>\n<td class=""col-2"">0 g</td>\n</tr><tr><td class=""col-1 sub"">† †Einfach unges‰ttigte</td>\n<td class=""col-2"">0 g</td>\n<td class=""col-1"">Zucker</td>\n<td class=""col-2"">4 g</td>\n</tr><tr><td class=""col-1 sub"">† †Trans</td>\n<td class=""col-2"">0 g</td>\n<td class=""col-1"">Eiweiﬂ</td>\n<td class=""col-2"">15 g</td>\n</tr><tr class=""last""><td class=""col-1"">Cholesterin</td>\n<td class=""col-2"">0 mg</td>\n<td class=""col-1"">Salz</td>\n<td class=""col-2"">0 g</td>\n</tr><tr class=""alt""><td class=""col-1"">Vitamin A</td>\n<td class=""col-2"">0%</td>\n<td class=""col-1"">Kalzium</td>\n<td class=""col-2"">0%</td>\n</tr><tr class=""last""><td class=""col-1"">Vitamin C</td>\n<td class=""col-2"">0%</td>\n<td class=""col-1"">Eisen</td>\n<td class=""col-2"">0%</td>\n</tr></tbody></table><p>Ursprungsland : Indonesien <br /> Hersteller/Importer: NESIA FOOD<br />Ballangeelaan 78, 2497 AA<br />Den Haag</p>\n</div>";"Hauptlager";"Hauptlager";"";"";"";"";"";"";"";"20000";"";0;1;1;1;"0";0;0;0;"2020-12-14T23:37:47.063Z";"2021-12-28T17:21:50.869Z";"0";"0";"1,99";;"0";;;;;;;
