"Artikel-Nr.";"Ean";"Name";"Verkaufte Menge";"Umsatz Brutto";"Tags";"Lieferant";"Hersteller";"Herstellernummer"
"50013";"8996006856180";"SOSRO, Teh Botol, Jasmine Tee in Packung, 1l";"2346";"5872,52";"";" ";"SOSRO";""
"50011";"8996006142511";"SOSRO, Teh Botol Jasmin Tee, 250 ml";"4229";"3460,48";"";" ";"SOSRO";""
"80000";"8998898101447";"SIDOMUNCUL, Tolak Angin, 12 x 15 ml";"595";"3254,47";"";" ";"SIDOMUNCUL";""
"";"null";"null";"852";"2702,36";"";" ";"null";"null"
"10016";"8717703616149";"ROYAL TIGER, Jasmin Reis, 18 kg";"88";"2472,00";"";" ";"ROYAL TIGER";""
"38013";"8719324263030";"H & S, Tempe, 400 g";"1583";"2411,22";"";" ";"H&S";""
"";"null";"null";"509";"2359,02";"";" ";"null";"null"
"25000";"8719200171404";"BLUE BAND, Margarine, 250 g";"580";"1988,34";"";" ";"BLUE BAND";""
"21073";"711844120396";"ABC, Chilipaste mit Garnelen, 180 g";"511";"1980,40";"";" ";"ABC";""
"12034";"8994963002800";"INDOMIE, Gebratene Nudeln, 80 g";"4926";"1974,65";"";" ";"INDOMIE";""
"";"null";"null";"1249";"1868,62";"";" ";"null";"null"
"";"null";"null";"675";"1734,79";"";" ";"null";"null"
"22005";"8991199122197";"KARANGSARI, Erdnusssoße scharf, 200 g";"871";"1668,02";"";" ";"KARANGSARI";""
"";"null";"null";"1953";"1658,61";"";" ";"null";"null"
"21079";"8991818100070";"FINNA, Chilipaste mit Zwiebeln, 190 g";"439";"1637,78";"";" ";"FINNA";""
"";"null";"null";"575";"1579,08";"";" ";"null";"null"
"31020";"8714384017555";"Nivo, Palm Zucker (Bar), 250 g";"876";"1541,35";"";" ";"Nivo";""
"23025";"8999999100506";"BANGO, süße Sojasauce Refill, 600 ml";"334";"1524,66";"";" ";"BANGO";""
"32141";"8997031750511";"MAICHI, Cassava Chips Scharf Level 5, 100 g";"525";"1407,27";"";" ";"MAICIH";""
"81002";"8993176110067";"CAP LANG, Kajeputöl, 120 ml";"217";"1406,28";"";" ";"CAP LANG";""
