"Nummer";"EAN";"Name";"Einkaufspreis 1";"Endkundenpreis";"Bestand Hauptlager"
"10062";"";"10062";;0;
"10063";"";"10063";;0;
"10065";"";"10065";;0;
"10066";"";"10066";;0;
"10067";"";"10067";;0;
"10068";"";"10068";;0;
"10069";"";"10069";;0;
"10070";"";"10070";;0;
"10071";"";"10071";;0;
"10072";"";"10072";;0;
"10073";"";"10073";;0;
"10074";"";"10074";;0;
"10075";"";"10075";;0;
"11026";"";"11026";;0;
"11029";"";"11029";;0;
"11030";"";"11030";;0;
"11031";"";"11031";;0;
"11032";"";"11032";;0;
"11033";"";"11033";;0;
"11034";"";"11034";;0;
"11035";"";"11035";;0;
"11036";"";"11036";;0;
"11037";"";"11037";;0;
"11038";"";"11038";;0;
"11039";"";"11039";;0;
"11040";"";"11040";;0;
"12056";"";"WINGSFOOD, Mie Sedaap Hähnchen Spezial 66g";0.22;0.5;
"12156";"";"12156";;0;
"12157";"";"12157";;0;
"12158";"";"12158";;0;
"12159";"";"12159";;0;
"12160";"";"12160";;0;
"13025";"";"13025";;0;
"13026";"";"13026";;0;
"13027";"";"13027";;0;
"13028";"";"13028";;0;
"13029";"";"13029";;0;
"13030";"";"13030";;0;
"13031";"";"13031";;0;
"13032";"";"13032";;0;
"13033";"";"13033";;0;
"13034";"";"13034";;0;
"13035";"";"13035";;0;
"13036";"";"13036";;0;
"13037";"";"13037";;0;
"13038";"";"13038";;0;
"13039";"";"13039";;0;
"13040";"";"13040";;0;
"14000";"";"KOBE, Würzige Mischung, 75 g";0.39;1.53;
"14001";"";"KOBE, Tepung Bumbu gorengan, 80 g";;0.99;
"14003";"";"KOBE, Bumbu Kuning, 90g";;0.99;
"14008";"";"KOBE, Tepung Tempe Goreng, 70 g";;0.99;0
"14015";"";"KOBE, Mehl Super Crispy Scharf 80g";;0.99;
"14016";"";"KOBE, Sojasösse Grillwürzmischung 60g";;1.5;
"14017";"";"KOBE, Scharfe Grillwuerzmischung 60g";;1.5;
"14021";"";"KOBE, Gewuerzemehl Hot Spicy 75 g";;0.99;
"14022";"";"KOBE, Gewuerzemehl Wangi Berempah 75 g";;0.99;
"14024";"";"KOBE Bumbu Tahu goreng 30g";;0.99;
"14035";"";"14035";;0;
"14036";"";"14036";;0;
"14037";"";"14037";;0;
"14038";"";"14038";;0;
"14039";"";"14039";;0;
"14040";"";"14040";;0;
"14325";"";"WIND MILL, Kokosmilch, 165ml";;1.29;
"14326";"";"HENG QUAN, Kokosmilch 1000 mL";;3.5;
"14327";"";"SAMYANG, Instant-Nudeln Ultra Scharf, 5x140g";;6.5;
"14328";"";"KUSUKA CASSAVA CHIPS GARNELEN S";;2.5;
"14329";"";"WINGSFOOD, RIO gezuckerte Tee, 190 ml";;0.5;
"14330";"";"FINNA, Emping, 250 g";;3;
"14331";"";"NESIA, Kemirinuss 100g";;1.99;0
"14332";"";"Indofood, Kecap Manis 138 ml";;1.89;
"14333";"";"Indofood, Kecap Manis 275 ml";;2.89;
"14334";"";"Indofood, Kecap Manis 615 ml";;3.5;
"14335";"";"Nesia, Bananen Chips Süß 100g";;2.5;
"14336";"";"NESIA, Sambal Goreng Tempe Pedas, 100g";;2.5;
"14337";"";"85, Javanische Ingwersaft, 20g";;0.5;
"14338";"";"Udang Mas, Kerupuk Opak Pedis, 100g";;1.79;
"14339";"";"FLYING GOOSE BRAND,TOM YUM PASTE, 195gr";;2.5;
"14340";"";"SIX FORTUNE, Geröstete dicke Bohnen, 170g";;1.99;
"14341";"";"MAEKRUA, Austernsoße, 600 ml";;2.75;
"14342";"";"FOCO,Thai Tee, 350 ml";;1.5;
"14343";"";"Qtela, Chip Süßkartoffeln, Original-Geschmack, 45g";;0.99;
"14344";"";"Qtela, Cassava-Originalgeschmack,60g";;0.99;
"14345";"";"SAJIKU, Capcay Gewürze, 20g";;0;0
"14346";"";"FOCO SOURSOP NECTAR 350ml";;1.5;
"14347";"";"FOCO, Grasgelee Getränk, 350mL";;1.5;
"14348";"";"Nutri Marina, Biologische Kokosmilch,400mL";;1.69;
"14349";"";"YUM-YUM, Instant-Nudeln mit Huhngeschmack, 60g";;0.39;
"14351";"";"YUM-YUM, Instant-Nudeln mit Rindergeschmack, 60g";;0.39;
"14353";"";"LUWAK, White Kaffee 3 Gescmack Vanille, 20g";;3.5;
"14354";"";"DUA KELINCI, fettreduzierte Erdnüsse, 70g";;0;
"14355";"";"Nesia, Gendar Special, 200g";;3.5;
"14356";"";"A&W, Root Beer Getränke, 355mL";;0;
"14357";"";"MEGA, Sardine Fisch Tomaten Sauce, 425g";;2.69;
"14358";"";"COCO, Coconut Juice with Pulp, 520ml";;1.53;
"14359";"";"";;0;
"14360";"";"";;0;
"14361";"";"PONDAN, Chocolate Chiffon mix, 400g";;3.99;
"14362";"";"SWALLOW GLOBE, Agar-Agar Pulver Gelberfarbe, 12g";;1.19;
"14363";"";"NIVO, Biji Delima/Pacar Cina, 100g";;1.9;
"14364";"";"PONDAN, Lapis Tepung Beras, 400g";;3.95;
"14365";"";"PONDAN, Talam Beras, 300g";;2.99;
"14366";"";"PONDAN, Lapis Surabaya & Bolu Gulung, 400g";;2;
"14368";"";"RAPINDO, Sagu Ambon, 250g";;2.19;
"14369";"";"TRS, Sesam, 100g";;1.69;
"14370";"";"SRIKANDI, Basilikumsamen, 100g";;1.99;
"14372";"";"PONDAN, Black Forest, 400g";;3.99;
"14373";"";"PONDAN, Bolu Kukus-Kuchen, 400g";;2.79;
"14374";"";"PONDAN, schwarzen klebrigen Reis gedämpft Brownies, 400g";;4.25;
"14375";"";"PONDAN, Kue Mangkok, 400g";;3.95;
"14376";"";"PONDAN, Schichtkuchen, 375g";;3.59;
"14377";"";"PONDAN, Lapis Tepung Sagu, 400g";;2.99;
"14379";"";"PONDAN, Vanila Chiffon mix-Kuchenteig, 400g";;3.99;
"14380";"";"SRUUT, Tepung Dawet (Cendol) rasa vanila, 100g";;1.69;
"14381";"";"SRUUT Tepung Dawet (Cendol) Himbeeren, 100 g";;1.69;
"14383";"";"CERES,  Schokostreusel Milchschokolade, 90g";;2;
"14385";"";"PUSAKA NUSANTARA, Sagu Mutiara, 100 g";;1.99;
"14386";"";"MORISCA, Srikaya Marmelade, 250g";;2.99;
"14387";"";"PUSAKA NUSANTARA, Selasih, 100 g";;1.99;
"14388";"";"PUSAKA NUSANTARA, Kapur Sirih, 100 g";;1.99;
"14389";"";"NESIA, Sagomehl 100g";0.5;0;
"14390";"";"INDOMIE, Instant-Nudeln Scharfes gebratene Nudeln (GORENG PEDAS), 40x79g";;13.5;
"14391";"";"INDOMIE, Nudeln mit Hähnchen Spesial, 40x75g";;13.5;
"14392";"";"INDOMIE, Gebratene Nudeln, 1 Packung, 40x80g";;13.5;
"14393";"";"FARMER, Reismehl, 400g";;1.29;
"14394";"";"KUDA MENJANGAN, Weizennudeln Dick, 200g";;1.19;
"14396";"";"INDOMIE, Instant-Nudeln Grillhähnchen (JUMBO), 128g";;0.59;
"14397";"";"INDOMIE, Instant-Nudeln Grillhähnchen (JUMBO), 24x128g";;13.5;
"14398";"";"SAMYANG, Instant-Nudeln Super Scharf, 5x140g";;5.5;
"14399";"";"INDOMIE, Popmie Baso Special, 75gr";;1.19;
"14400";"";"INNDOMIE, Popmie gebratene Nudeln Special, 80g";;1.19;
"14401";"";"WINGSFOOD, MIE SEDAP 1 Dos (isi 40 x 70 g), Soto-Geschmack";;13.5;
"14402";"";"NIVO MI Cup Huhner mit Zwiebel-Geschmack, 65g";;1.2;
"14403";"";"NIVO MI CUP Rinder Geschmack (Bakso)";;1.2;
"14404";"";"H&S Reisnudeln 400g";;2.19;
"14407";"";"ANNE WILSON, Kochbuch Indonesische Küche";;2.49;
"14408";"";"ANNE WILSON, Kochbüch, Leckere Gerichte aus Asien";;2.49;
"14409";"";"ANNE WILSON, Kochbuch-Reis Gerichte aus aller Welt";;2.49;
"14410";"";"TRS, Garam Masala, 100g";;1.19;
"14411";"";"TRS, Kreuzkümmelpulver, 100g";;1.69;
"14412";"";"TRS, ganzer schwarzer Pfeffer, 100g";;1.45;
"14413";"";"FINNA, Rinder Rendang, 50g";;0.99;
"14414";"";"TRS, Zimt Stangen, 50g";;1.59;
