Artikel-Nr.;Name;Verkaufte Menge;Verkaufspreis;Umsatz;Verkaufte Menge/Tag;Seitenaufrufe;Lieferbare Verkaufsmenge;Aktiv
51037;LUWAK, White Kaffee 3 Geschmack Mocca Rose, 20g;1;0,47 €;0,47 €;0.00;0;0;0
;TRS, scharfe rote Chilipulver, 100g;1;0,47 €;0,47 €;0.00;0;0;0
;SIDOMUNCUL, Tolak Angin, 15ml;1;0,64 €;0,64 €;0.00;0;0;0
;Indonesische Lorbeerbl;1;0,93 €;0,93 €;0.00;0;0;0
32090;ECUADOR TROPICAL GOURMET, Plantain Chips lighty salted 85g;1;0,93 €;0,93 €;0.00;0;0;0
51040;LUWAK, White Kaffee 3 Geschmack Caramel, 20g;2;0,47 €;0,94 €;0.00;0;0;0
;TRS, Currypulver Madras 100gr;1;1,11 €;1,11 €;0.00;0;0;0
;TRS, Garam Masala, 100g;1;1,11 €;1,11 €;0.00;0;0;0
29010;UDANG MAS, Garnelen Cracker (Scharf), 80 g;1;1,11 €;1,11 €;0.00;0;0;0
;TRS, Zimt Stangen, 50g;1;1,11 €;1,11 €;0.00;0;0;0
;KUDA MENJANGAN, Weizennudeln mit Ei, 200g;1;1,11 €;1,11 €;0.00;0;0;0
16036;TRS, Kreuzkümmelpulver 100g;1;1,11 €;1,11 €;0.00;0;0;0
56039;MOGU-MOGU, Mangogeschmack, 320 ml;1;1,12 €;1,12 €;0.00;0;4;0
56038;MOGU-MOGU, Melonegeschmack mit Nata de Coco, 320ml;1;1,13 €;1,13 €;0.00;0;6;1
;FOCO, Mangostane Nectar Saft, 350 ml;1;1,25 €;1,25 €;0.00;0;0;0
35016;KOEPOE-KOEPOE, VX, 45 g;1;1,39 €;1,39 €;0.00;0;19;1
32013;DUA KELINCI, KOROKU, Chili Flavour, 70 g;1;1,39 €;1,39 €;0.00;0;0;0
32148;DUA KELINCI, Kacang Telur Oven 65g;1;1,40 €;1,40 €;0.00;0;0;0
56041;CHAOKOH, Kokosnusswasser, 330 ml;1;1,40 €;1,40 €;0.00;0;0;0
;ASLI, Currypulver, 50 g;1;1,58 €;1,58 €;0.00;0;0;0
32160;ROMA, Malkist Cappucino, 115 g;1;1,58 €;1,58 €;0.00;0;0;0
;RUBICON, Light & Fruity, Mango, Lime, Mint, 1l;1;1,67 €;1,67 €;0.00;0;0;0
