Name;Insgesamt verkaufte Menge;Gesamtpreis;Handelsspanne;Summe angesehen
Küchezubehör & Pflegeprodukt > Kuchenpapier;0;0,00 €;0,00 €;0
Küchezubehör & Pflegeprodukt > Kochbücher;0;0,00 €;0,00 €;0
Küchezubehör & Pflegeprodukt > Kochgerät, Elektronik;1;16,81 €;16,81 €;0
Haushaltwaren & Souvenir > Geschenkartikel;1;29,41 €;29,41 €;0
Lebensmittel > Rohnüsse & Getrocknete Pilze;17;34,42 €;34,42 €;0
Tiefkühlwaren > Fertigkuchen & Teig;5;35,05 €;35,05 €;0
Küchezubehör & Pflegeprodukt > Bahan Perawatan Tubuh;14;46,90 €;12,70 €;0
Soße, Saucen, Pasten & Öle > Fisch- & Meeresfrüchtesosse;24;47,52 €;32,68 €;0
Gemüse & Obst In Dosen > Obst In Dosen;27;51,04 €;51,04 €;0
Getränke > Obst- & Erfrischungsgetränke;34;54,38 €;51,40 €;0
Getränke > Sojagetränke;13;55,71 €;55,71 €;0
Lebensmittel > Sushi Zutaten;26;61,01 €;61,01 €;0
Snacks & Süßwaren > Bon-bon;79;98,23 €;89,95 €;0
Gemüse & Obst In Dosen > Gemüse In Dosen;54;101,83 €;46,15 €;0
Soße, Saucen, Pasten & Öle > Öle & Essig;27;109,17 €;85,67 €;0
Frisch- & Tiefkühlwaren > Frischwaren;42;111,38 €;99,48 €;0
Tiefkühlwaren > Fisch & Meereschfrüchte;53;146,68 €;146,68 €;0
Lebensmittel > Gemüse & Obst In Dosen;82;154,92 €;99,24 €;0
Getränke > Milch;47;162,36 €;150,48 €;0
Küchezubehör & Pflegeprodukt > Haushaltshilfsgerät/-utensilien;25;168,27 €;156,87 €;0
Fertige Gerichte > Fertiggrichte in Dosen;174;263,94 €;215,73 €;0
Küchezubehör & Pflegeprodukt > Plester;129;273,92 €;168,92 €;0
Küchezubehör & Pflegeprodukt > Backform;52;329,95 €;318,55 €;0
Fertige Gerichte > Feriggerichte, keine Konserven;125;383,17 €;322,92 €;0
Reis, Nudeln & Mehl > Nudeln, Reisnudeln & Vermicelli;351;396,67 €;388,71 €;0
Küchezubehör & Pflegeprodukt > Küchewaren, keine Elektronik;75;428,77 €;417,37 €;0
Reis, Nudeln & Mehl > Reis;137;437,66 €;364,19 €;0
Reis, Nudeln & Mehl > Mehl;219;457,56 €;396,51 €;0
Lebensmittel > Fertige Gerichte;243;503,46 €;395,00 €;0
Start > Haushaltwaren & Souvenir;50;523,04 €;499,64 €;0
Lebensmittel > Kokosmilch & Kokosraspel;265;538,04 €;464,01 €;0
Snacks & Süßwaren > Frische Nachtisch;260;628,25 €;361,14 €;0
Küchezubehör & Pflegeprodukt > Pflegeprodukte;127;640,26 €;216,26 €;0
Tiefkühlwaren > Tiefkühl-Gemüse;212;656,33 €;644,43 €;0
Frisch- & Tiefkühlwaren > Tiefkühlwaren;255;786,37 €;786,37 €;0
Reis, Nudeln & Mehl > Würzmehl-Mischungen;645;810,97 €;552,32 €;0
Lebensmittel > Frisch- & Tiefkühlwaren;293;876,10 €;864,20 €;0
Gewürze & Gewürzemischungen > Sonstige Würzmittel;436;876,20 €;768,30 €;0
Zucker & Syrup > Zucker;590;1.146,76 €;1.067,56 €;0
Zucker & Syrup > Syrup;295;1.273,09 €;527,84 €;0
Getränke > Kaffee;444;1.315,40 €;696,62 €;0
Gewürze & Gewürzemischungen > Gewürze;569;1.853,31 €;1.597,57 €;0
Getränke > Zucker & Syrup;798;2.256,72 €;1.432,27 €;0
Getränke > Tee;1656;2.256,79 €;1.808,84 €;0
Krupuk & Emping > Krupuk & Emping, Frittriert;1072;2.475,15 €;1.844,75 €;0
Küchezubehör & Pflegeprodukt > Obat Luar;759;2.605,05 €;-541,45 €;0
Soße, Saucen, Pasten & Öle > Erdnuss-Chilisosse & -paste;1576;2.737,59 €;1.388,84 €;0
Start > Küchezubehör & Pflegeprodukt;928;3.238,77 €;-58,33 €;0
Lebensmittel > Brot-, Kuchen-, Dessert-Zutaten;1789;3.382,79 €;2.537,11 €;0
Gewürze & Gewürzemischungen > Fertige Würzmischung;3441;4.525,15 €;3.431,87 €;0
Soße, Saucen, Pasten & Öle > Sojasosse;1368;4.957,78 €;2.044,82 €;0
Krupuk & Emping > Krupuk & Emping, Roh/Unfrittriert;1423;4.991,03 €;4.044,88 €;0
Snacks & Süßwaren > Snacks & Gepickelte Lebensmittel;2852;5.107,08 €;4.321,33 €;0
Lebensmittel > Snacks & Süßwaren;3156;5.804,98 €;4.763,05 €;0
Reis, Nudeln & Mehl > Instant-Nudeln & Instant-Reisnudeln;6212;6.354,43 €;3.748,06 €;0
Getränke > Kraütergetränke;1540;6.844,67 €;2.945,67 €;0
Lebensmittel > Krupuk & Emping;2325;6.989,26 €;5.412,71 €;0
Lebensmittel > Gewürze & Gewürzemischungen;4380;7.095,37 €;5.529,25 €;0
Soße, Saucen, Pasten & Öle > Chilisosse & -paste;2702;8.035,58 €;4.334,31 €;0
Lebensmittel > Reis, Nudeln & Mehl;7498;8.451,42 €;5.463,42 €;0
Start > Beliebt;4953;10.371,92 €;4.693,99 €;0
Start > Getränke;3898;11.378,45 €;5.875,68 €;0
Lebensmittel > Soße, Saucen, Pasten & Öle;5713;15.880,48 €;7.914,86 €;0
Start > Lebensmittel;20926;39.865,56 €;24.484,71 €;0
Stammverzeichnis > Start;27411;56.532,20 €;32.461,72 €;0
